company's slogan "Expect More. Pay Less."	company's slogan "Expect More. Pay Less."	support	(marriage; capable of; deceiving)
Senator Randall isn't lying when she says she cares about her constituents	she wouldn't lie to people she cares about	support	(marriage; capable of; deceiving)
A mother is telling her daughter that she went over her data for the month	and the daughter begins telling her mother about getting an A on a math test	support	(marriage; capable of; deceiving)
A mother tells her children not to leave the yard	because there might be wild animals in the woods	support	(marriage; capable of; deceiving)
If we ban Hummers because they are bad for the environment, eventually the government will ban all cars	so we should not ban Hummers	support	(marriage; capable of; deceiving)
very time Joe goes swimming he is wearing his Speedos	Something about wearing that Speedo must make him want to go swimming.	support	(marriage; capable of; deceiving)
Every time I go to sleep, the sun goes down.	Therefore, my sleeping causes the sun to set.	support	(marriage; capable of; deceiving)
You oppose a senator's proposal to extend government-funded health care to poor minority children	because that senator is a liberal Democrat	support	(marriage; capable of; deceiving)
Child: This fish tastes funny. I don't want to eat this..	Parent: There are children starving in Africa. Eat your dinner.	support	(marriage; capable of; deceiving)
John: I think we should hire someone to redesign our website	Lola: You're saying we should throw our money away on external resources instead of building up our in-house design team? That's going to hurt our company in the long run.	support	(marriage; capable of; deceiving)
"Beware of appeals made only to your feelings and not to your logic."	"Beware of appeals made only to your feelings and not to your logic."	support	(marriage; capable of; deceiving)
taps into people's desire to belong to a group. "Everyone else is doing it!"	taps into people's desire to belong to a group. "Everyone else is doing it!"	support	(marriage; capable of; deceiving)
Science shows us that improved quality of life comes through research and invention.	Science shows us that improved quality of life comes through research and invention.	support	(marriage; capable of; deceiving)
Prof. Jones: "The university just cut our yearly budget by $10,000."	Prof. Smith: "What are we going to do?"	support	(marriage; capable of; deceiving)
uses irrelevant information or other techniques to distract from the argument at hand	uses irrelevant information or other techniques to distract from the argument at hand	support	(marriage; capable of; deceiving)
The student didn't want to participate in the beach cleanup	Later, the student's advisor says "I can't believe she doesn't believe in climate change"	support	(marriage; capable of; deceiving)
This herbal supplement is made from a plant that grows in Zambia	it must be healthier than taking that medication, which is full of chemicals I can't pronounce	support	(marriage; capable of; deceiving)
I know the Professor said that the Bridges of Madison County was smarmy trash and lacked any artistic worth.	But I still think he's wrong. After all, it was on the best-seller list for over 100 weeks...	support	(marriage; capable of; deceiving)
Those who believe in behavior modification	obviously want to try to control everyone by subjecting them to rewards and punishments.	support	(marriage; capable of; deceiving)
If taxes are lowered, I will have more money to spend	I have more money to spend	support	(marriage; capable of; deceiving)
If there is no freewill, then we are not ultimately in control of our actions.	If this is true, our entire system of justice would be seriously flawed.	support	(marriage; capable of; deceiving)
Students never used to have cell phones	so they don't need them now.	support	(marriage; capable of; deceiving)
All football players are dumb jocks	therefore, all football players are dumb jocks	support	(marriage; capable of; deceiving)
"My cousin said her Math class was hard. The one that I'm in is hard too. All Math classes must be hard.". This statement is an example of…	"My cousin said her Math class was hard. The one that I'm in is hard too. All Math classes must be hard."	support	(marriage; capable of; deceiving)
Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.	Dismissing someone's viewpoint on an issue because he himself is inconsistent in that very thing.	support	(marriage; capable of; deceiving)
Using the second amendment as justification to allow civilians to own nuclear submarines.	justification to allow civilians to own nuclear submarines.	support	(marriage; capable of; deceiving)
Your brain is made of molecules	Molecules are not the source of consciousness	support	(marriage; capable of; deceiving)
An opinion article in a campus newspaper states that in an all-campus survey 95% of students think that tuition should be lowered and therefore tuition should be lowered immediately.	therefore tuition should be lowered immediately	support	(marriage; capable of; deceiving)
Mayor Blake wants to create more bicycle lanes in Lowell	Why is he forcing us to give up our cars and bike everywhere?	support	(marriage; capable of; deceiving)
You should give me a promotion	I have a lot of debt and am behind on my rent	support	(marriage; capable of; deceiving)
All women care about are their looks.	All men care about are their looks.	support	(marriage; capable of; deceiving)
Either support gun confiscation or have the government provide everyone with his own private nuclear warhead, you decide which one.	or have the government provide everyone with his own private nuclear warhead, you decide which one.	support	(marriage; capable of; deceiving)
, tax relief instead of tax cut, or death tax instead of estate tax)	, tax relief instead of tax cut, or death tax instead of estate tax)	support	(marriage; capable of; deceiving)
If we teach anton how to drive the car, he'll want to learn how to fly helicopters next!	he'll want to learn how to fly helicopters next!	support	(marriage; capable of; deceiving)
Students should not be allowed to park in lots now reserved for faculty	those lots should be for faculty only	support	(marriage; capable of; deceiving)
Not tipping your waiter is like stealing money right out of someone's wallet.	is like stealing money right out of someone's wallet.	support	(marriage; capable of; deceiving)
You have to give me a passing grade	I spent 150 hours on that project and missed every party this quarter.	support	(marriage; capable of; deceiving)
A study was done recently showing that church attendance was positively correlated with marriage longevity, that is, those couples who attended church together more often were more likely to stay married.	This really should not be a surprise considering the general view of divorce within religion.	support	(marriage; capable of; deceiving)
Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.	Circular reasoning occurs when someone makes an argument in which both the premises and the conclusion have to rely on the truthfulness of the other.	support	(marriage; capable of; deceiving)
AttP 1: Jenny & Bert's Economy Conversation	AttP 1: Jenny & Bert's Economy Conversation	support	(marriage; capable of; deceiving)
Allowing gay marriage puts us on the way to polygamy and bestiality	Allowing gay marriage puts us on the way to polygamy and bestiality	support	(marriage; capable of; deceiving)
Debate moderator: "What will you do to fix the economic crisis?"	Candidate: "It's important to focus on what started this crisis to begin with. My opponent..."	support	(marriage; capable of; deceiving)
"I used to have that haircut. Then my mom got a job."	"Then my mom got a job."	support	(marriage; capable of; deceiving)
My opponent suggests that lowering taxes will be a good idea -- this is coming from a woman who eats a pint of Ben and Jerry's each night!	Mi oponente sugiere que bajar los impuestos será una buena idea, ¡esto viene de una mujer que se come una pinta de Ben y Jerry cada noche!	support	(marriage; capable of; deceiving)
All useless laws, such as Reform Bill 13, should be repealed.	All useless laws, such as Reform Bill 13, should be repealed.	support	(marriage; capable of; deceiving)
The flu vaccine comes out every year just before the holidays, then people go and spend a lot of money.	Therefore, businesses are secretly using the flu vaccine as a mind control device to increase holiday spending.	support	(marriage; capable of; deceiving)
I am committed to preserving traditional marriage, the union of one man and one woman.	the union of one man and one woman.	support	(marriage; capable of; deceiving)
John: We should oppose any attempt to register firearms. Such regulation is the first step to confiscation of all weapons and the elimination of our constitutional right to bear arms.	Ted: This is preposterous. Many things in society are registered, such as cars, babies, boats, and lanes, yet these items have never been confiscated.	support	(marriage; capable of; deceiving)
nature gives people diseases and sickness; therefore, it is morally wrong to interfere with nature and treat sick people with medicine.	it is morally wrong to interfere with nature and treat sick people with medicine.	support	(marriage; capable of; deceiving)
